seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;56;0,00033600000000000025;252,83993061110522
columna_70x70;0,0;57;0,00034200000000000024;255,7444758981814
columna_70x70;0,0;58;0,0003480000000000003;258,64817126254337
columna_70x70;0,0;59;0,0003540000000000003;261,55101623979084
columna_70x70;0,0;60;0,00036000000000000024;264,4530103650489
columna_70x70;0,0;61;0,0003660000000000003;267,1032831983974
columna_70x70;0,0;62;0,0003720000000000003;269,64390608169714
columna_70x70;0,0;63;0,0003780000000000003;272,1838265857983
columna_70x70;0,0;64;0,00038400000000000033;274,7230443435081
columna_70x70;0,0;65;0,00039000000000000037;277,2615589872729
columna_70x70;0,0;66;0,0003960000000000003;279,79937010450743
columna_70x70;0,0;67;0,00040200000000000034;282,3364774163135
columna_70x70;0,0;68;0,0004080000000000004;284,6021579878007
columna_70x70;0,0;69;0,00041400000000000036;286,8170350142528
columna_70x70;0,0;70;0,0004200000000000004;289,0313360887939
columna_70x70;0,0;71;0,0004260000000000004;291,2450609233392
columna_70x70;0,0;72;0,00043200000000000036;293,4582092298113
columna_70x70;0,0;73;0,0004380000000000004;295,6707807198623
columna_70x70;0,0;74;0,00044400000000000044;297,8827751048737
columna_70x70;0,0;75;0,0004500000000000005;300,0941920959579
columna_70x70;0,0;76;0,00045600000000000046;302,1006298199118
columna_70x70;0,0;77;0,00046200000000000044;304,0268751582496
columna_70x70;0,0;78;0,0004680000000000005;305,95265246972644
columna_70x70;0,0;79;0,00047400000000000046;307,87796153080814
columna_70x70;0,0;80;0,0004800000000000005;309,8028021180198
columna_70x70;0,0;81;0,00048600000000000054;311,727174007689
columna_70x70;0,0;82;0,0004920000000000005;313,65107697594203
columna_70x70;0,0;83;0,0004980000000000005;315,57451079870515
columna_70x70;0,0;84;0,0005040000000000005;317,4974752517036
columna_70x70;0,0;85;0,0005100000000000005;319,41997011046135
columna_70x70;0,0;86;0,0005160000000000005;321,0972584174912
columna_70x70;0,0;87;0,0005220000000000005;322,769623475679
columna_70x70;0,0;88;0,0005280000000000006;324,44161173472304
columna_70x70;0,0;89;0,0005340000000000006;326,1132230230121
columna_70x70;0,0;90;0,0005400000000000007;327,78445716903354
columna_70x70;0,0;91;0,0005460000000000006;329,4553140011288
columna_70x70;0,0;92;0,0005520000000000006;331,12579334749114
columna_70x70;0,0;93;0,0005580000000000007;332,7958950361699
columna_70x70;0,0;94;0,0005640000000000006;334,46561889506563
columna_70x70;0,0;95;0,0005700000000000006;336,1349647519337
columna_70x70;0,0;96;0,0005760000000000007;337,8039324343805
columna_70x70;0,0;97;0,0005820000000000006;339,43798204008834
columna_70x70;0,0;98;0,0005880000000000006;340,8897276519051
columna_70x70;0,0;99;0,0005940000000000007;342,34117309342184
columna_70x70;0,0;100;0,0006000000000000007;343,792318234391
columna_70x70;0,0;101;0,0006060000000000007;345,2431609071463
columna_70x70;0,0;102;0,0006120000000000007;346,6937050571614
columna_70x70;0,0;103;0,0006180000000000006;348,1439485159017
