curva;seccion;modelo;punto;P_kN;M_kNm
pm_muro_30x356;muro_30x356;HA;3;-3248,3617319777836;13496,363917177301
pm_muro_30x356;muro_30x356;HA;4;-2902,45501381625;14049,804715142995
pm_muro_30x356;muro_30x356;HA;5;-2596,426724336142;14537,472398205831
pm_muro_30x356;muro_30x356;HA;6;-2309,5575340468113;14994,312158395702
pm_muro_30x356;muro_30x356;HA;7;-2039,718654149283;15423,706404582093
pm_muro_30x356;muro_30x356;HA;8;-1785,0854085301496;15828,554344367412
pm_muro_30x356;muro_30x356;HA;9;-1544,0848005399234;16211,355294650295
pm_muro_30x356;muro_30x356;HA;10;-1315,353566415711;16574,27533007623
pm_muro_30x356;muro_30x356;HA;11;-1097,7043473962863;16919,201031788045
pm_muro_30x356;muro_30x356;HA;12;-890,0982045655762;17247,78315828573
pm_muro_30x356;muro_30x356;HA;13;-691,6221309973332;17561,472376129874
pm_muro_30x356;muro_30x356;HA;14;-501,47053234486935;17861,548685226888
pm_muro_30x356;muro_30x356;HA;15;-318,92988218683143;18149,145799779577
pm_muro_30x356;muro_30x356;HA;16;-155,22632955250074;18405,58321048234
pm_muro_30x356;muro_30x356;HA;17;-4,772226894802414;18640,09618622923
pm_muro_30x356;muro_30x356;HA;18;140,76113351775356;18866,474390139825
pm_muro_30x356;muro_30x356;HA;19;281,7522703194092;19085,313862890165
pm_muro_30x356;muro_30x356;HA;20;418,5418502809822;19297,1510410887
pm_muro_30x356;muro_30x356;HA;21;551,437304390771;19502,47002606501
pm_muro_30x356;muro_30x356;HA;22;680,716784495332;19701,708814260135
pm_muro_30x356;muro_30x356;HA;23;806,6325678508431;19895,26465826014
pm_muro_30x356;muro_30x356;HA;24;929,4139974174681;20083,49869677962
pm_muro_30x356;muro_30x356;HA;25;1052,2351287987517;20270,23878376157
pm_muro_30x356;muro_30x356;HA;26;1173,1166402897213;20453,224616765718
pm_muro_30x356;muro_30x356;HA;27;1291,2780874619268;20631,60416026817
pm_muro_30x356;muro_30x356;HA;28;1395,0290795981412;20786,42732769812
