id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
173,beam_x,60x80,60.0,80.0,0.48,154,157,-4000,1615.0,1780.0,-4500,1615.0,1780.0,5.0,0.0,-0.0,35.330206,2.786949,40.999658,0.0
174,beam_y,60x80,60.0,80.0,0.48,139,140,-2000,0,1780.0,-2000,725.0,1780.0,7.25,0.0,0.0,21.500601,13.992565,-2.0684,0.0
175,beam_y,60x80,60.0,80.0,0.48,140,141,-2000,725.0,1780.0,-2000,1615.0,1780.0,8.9,0.0,0.0,21.76302,23.117429,0.211125,-0.0
176,beam_y,60x80,60.0,80.0,0.48,146,147,-3000,0,1780.0,-3000,725.0,1780.0,7.25,0.0,0.0,21.59139,14.299763,1.341026,0.0
177,beam_y,60x80,60.0,80.0,0.48,147,148,-3000,725.0,1780.0,-3000,1615.0,1780.0,8.9,0.0,0.0,21.639861,22.989058,-0.155381,-0.0
178,beam_y,60x80,60.0,80.0,0.48,152,153,-4000,0,1780.0,-4000,725.0,1780.0,7.25,0.0,0.0,23.424176,24.733736,-4.921582,0.0
179,beam_y,60x80,60.0,80.0,0.48,153,154,-4000,725.0,1780.0,-4000,1615.0,1780.0,8.9,0.0,0.0,21.647096,23.081589,2.856554,-0.0
180,beam_y,60x80,60.0,80.0,0.48,155,156,-4500,0,1780.0,-4500,725.0,1780.0,7.25,0.0,0.0,11.030899,9.750986,-2.537123,0.0
181,beam_y,60x80,60.0,80.0,0.48,156,157,-4500,725.0,1780.0,-4500,1615.0,1780.0,8.9,0.0,0.0,10.30019,9.21792,1.550956,-0.0
182,beam_x,60x80,60.0,80.0,0.48,29,38,-1000,0,712.0,-2000,0,712.0,10.0,0.0,-0.0,54.441784,-3.034519,74.918122,0.0
183,beam_x,60x80,60.0,80.0,0.48,30,39,-1000,725.0,712.0,-2000,725.0,712.0,10.0,0.0,-0.0,103.55337,-2.484762,145.531602,0.0
184,beam_x,60x80,60.0,80.0,0.48,31,40,-1000,1615.0,712.0,-2000,1615.0,712.0,10.0,0.0,-0.0,55.320031,4.111457,73.838634,0.0
185,beam_x,60x80,60.0,80.0,0.48,60,70,-1000,0,1068.0,-2000,0,1068.0,10.0,0.0,0.0,55.557638,1.130532,79.944845,-0.0
186,beam_x,60x80,60.0,80.0,0.48,61,71,-1000,725.0,1068.0,-2000,725.0,1068.0,10.0,0.0,0.0,104.72948,-1.560752,150.705794,-0.0
187,beam_x,60x80,60.0,80.0,0.48,62,72,-1000,1615.0,1068.0,-2000,1615.0,1068.0,10.0,0.0,0.0,56.026327,2.209006,77.100866,-0.0
188,beam_x,60x80,60.0,80.0,0.48,94,104,-1000,0,1424.0,-2000,0,1424.0,10.0,0.0,0.0,50.592865,-7.524571,73.088853,-0.0
189,beam_x,60x80,60.0,80.0,0.48,95,105,-1000,725.0,1424.0,-2000,725.0,1424.0,10.0,0.0,0.0,104.161775,-1.867585,147.627502,-0.0
190,beam_x,60x80,60.0,80.0,0.48,96,106,-1000,1615.0,1424.0,-2000,1615.0,1424.0,10.0,0.0,0.0,55.596042,2.384445,74.457796,-0.0
191,beam_x,60x80,60.0,80.0,0.48,132,139,-1000,0,1780.0,-2000,0,1780.0,10.0,0.0,-0.0,42.59938,0.721359,63.897149,0.0
192,beam_x,60x80,60.0,80.0,0.48,133,140,-1000,725.0,1780.0,-2000,725.0,1780.0,10.0,0.0,-0.0,99.88992,-1.693791,147.881887,0.0
193,beam_x,60x80,60.0,80.0,0.48,134,141,-1000,1615.0,1780.0,-2000,1615.0,1780.0,10.0,0.0,-0.0,57.038067,3.496806,83.372885,0.0
