id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
710,steel_beam,300x300x50,30.0,30.0,0.09,126,158,-5000,0,1424.0,-4755.0,0,1780.0,4.3216,-134.242355,12.224426,-192.025203,-22.457008,-2.059308,14.960748
711,steel_beam,300x300x50,30.0,30.0,0.09,121,159,-4500,725.0,1424.0,-4755.0,725.0,1780.0,4.3791,-398.844187,7.002275,553.247235,-11.188985,-2.227659,-8.871314
712,steel_beam,300x300x50,30.0,30.0,0.09,127,159,-5000,725.0,1424.0,-4755.0,725.0,1780.0,4.3216,-224.753499,9.853721,-321.61907,-18.14675,-3.114986,12.046111
713,steel_beam,300x300x50,30.0,30.0,0.09,122,160,-4500,1615.0,1424.0,-4755.0,1615.0,1780.0,4.3791,-245.422773,-4.153773,341.031203,4.565149,-0.274165,4.86628
714,steel_beam,300x300x50,30.0,30.0,0.09,128,160,-5000,1615.0,1424.0,-4755.0,1615.0,1780.0,4.3216,-140.188738,-5.865386,-200.592426,8.985354,-1.940481,-7.111093
715,steel_beam,300x300x50,30.0,30.0,0.09,36,66,-1749.0,0,712.0,-1749.0,-412.0,1068.0,5.445,16.907923,-172.477112,149.207678,-4.899238,42.902005,36.471105
716,steel_beam,300x300x50,30.0,30.0,0.09,28,60,-1000,-412.0,712.0,-1000,0,1068.0,5.445,-5.413521,-235.516228,-201.08475,10.449938,-12.716803,11.513348
717,steel_beam,300x300x50,30.0,30.0,0.09,110,146,-3000,-412.0,1424.0,-3000,0,1780.0,5.445,5.559509,-265.528679,-229.502003,5.448433,11.997175,-11.809744
718,steel_beam,300x300x50,30.0,30.0,0.09,103,139,-2000,-412.0,1424.0,-2000,0,1780.0,5.445,-1.61482,-258.199525,-223.034827,5.513348,-4.506846,3.460523
719,steel_column,300x300x20,30.0,30.0,0.09,103,138,-2000,-412.0,1424.0,-2000,-412.0,1780.0,3.56,-7.027522,-8.955276,108.546445,16.43259,-11.861281,-0.058214
720,steel_column,300x300x20,30.0,30.0,0.09,145,110,-3000,-412.0,1780.0,-3000,-412.0,1424.0,3.56,-15.635657,9.154871,-111.197892,15.785317,28.784789,0.058214
721,steel_column,300x300x20,30.0,30.0,0.09,59,28,-1000,-412.0,1068.0,-1000,-412.0,712.0,3.56,14.606511,9.308729,-100.899518,14.987689,-25.422698,0.031547
722,steel_column,300x300x20,30.0,30.0,0.09,66,35,-1749.0,-412.0,1068.0,-1749.0,-412.0,712.0,3.56,-14.28725,7.059291,71.28516,12.922062,24.139164,0.031547
300000,beam_y,80x80,,,,,,,,,,,,,58.267539,4.369732,266.428751,87.628242,102.039918,55.231657
300001,beam_y,80x80,,,,,,,,,,,,,95.084574,50.22692,141.650433,25.12938,-7.99536,-20.95044
300002,beam_y,80x80,,,,,,,,,,,,,-0.632273,-4.735957,106.375715,280.514221,-15.590396,1.560147
300003,beam_y,80x80,,,,,,,,,,,,,-0.0,0.0,15.798019,-64.21079,12.950237,0.0
300004,beam_y,80x80,,,,,,,,,,,,,-0.088254,-4.320535,-111.677484,-149.702504,-10.318707,0.111704
300005,beam_y,80x80,,,,,,,,,,,,,-16.287092,46.164621,-144.089056,-12.448115,15.246939,3.617676
300006,beam_y,80x80,,,,,,,,,,,,,-40.655419,4.260034,-291.788299,85.972192,-116.625079,82.231504
300007,beam_y,80x80,,,,,,,,,,,,,92.630189,-0.676196,-40.425936,49.3031,-6.618529,-56.336391
300008,beam_y,80x80,,,,,,,,,,,,,-161.09049,16.557641,159.498719,-43.287263,63.584613,-6.798304
300009,beam_y,80x80,,,,,,,,,,,,,-110.070465,31.798698,66.589322,-90.655551,-14.408215,17.40877
300010,beam_y,80x80,,,,,,,,,,,,,-0.355136,-2.998338,114.483916,308.454348,-3.726891,0.957659
300011,beam_y,80x80,,,,,,,,,,,,,0.0,0.0,15.71273,-71.909997,11.106258,-0.0
300012,beam_y,80x80,,,,,,,,,,,,,-0.612114,0.626111,-114.705472,-153.958461,-16.932975,0.815135
300013,beam_y,80x80,,,,,,,,,,,,,-30.095541,-6.689957,23.125373,-50.165117,15.169263,9.536554
300014,beam_y,80x80,,,,,,,,,,,,,181.045709,18.754493,-98.615845,-12.47902,-93.054244,-49.342269
300015,beam_y,80x80,,,,,,,,,,,,,-42.488361,-2.976904,-315.153693,-18.472848,-34.869971,25.752551
300016,beam_y,80x80,,,,,,,,,,,,,-170.480971,23.353598,223.484535,-51.327094,71.971501,-13.305532
300017,beam_y,80x80,,,,,,,,,,,,,-11.438838,-17.578441,127.357752,-108.566991,-12.951292,1.373236
300018,beam_y,80x80,,,,,,,,,,,,,-0.106152,1.657493,118.104533,318.071622,2.907557,0.275569
300019,beam_y,80x80,,,,,,,,,,,,,0.0,0.0,15.535368,-78.520081,10.57228,-0.0
300020,beam_y,80x80,,,,,,,,,,,,,-0.646809,-2.882425,-116.560643,-157.420189,-20.880962,0.945724
300021,beam_y,80x80,,,,,,,,,,,,,141.392216,30.798511,-74.761296,-107.113044,17.294197,-22.432413
300022,beam_y,80x80,,,,,,,,,,,,,181.698882,20.787502,-188.742636,-39.352187,-84.845611,-51.192719
300023,beam_y,80x80,,,,,,,,,,,,,-44.594685,-3.299604,-434.85863,-35.305596,-59.223658,27.033735
300024,beam_y,80x80,,,,,,,,,,,,,-165.53333,24.016019,312.027255,-77.149333,84.639158,-17.378069
300025,beam_y,80x80,,,,,,,,,,,,,150.458833,83.73781,227.559214,-146.191397,9.994336,-27.137441
300026,beam_y,80x80,,,,,,,,,,,,,-0.045224,-7.89574,121.587041,329.907624,6.822894,0.040101
300027,beam_y,80x80,,,,,,,,,,,,,0.0,0.0,15.30856,-82.124982,10.298348,-0.0
300028,beam_y,80x80,,,,,,,,,,,,,0.553786,-4.407159,-119.211548,-158.074289,-23.165016,-0.870065
300029,beam_y,80x80,,,,,,,,,,,,,-244.926049,47.090189,-201.687894,-198.310645,-10.677906,42.457121
300030,beam_y,80x80,,,,,,,,,,,,,180.744644,25.915941,-304.842593,-83.628357,-105.158882,-55.474763
300031,beam_y,80x80,,,,,,,,,,,,,-49.674932,-4.113641,-561.790222,-71.97153,-84.953999,30.125202
300032,beam_y,80x80,,,,,,,,,,,,,-196.624124,27.157677,210.962661,-23.129939,242.622438,-19.284126
300033,beam_y,80x80,,,,,,,,,,,,,-87.355174,-193.9234,35.593003,-72.381672,-107.528589,29.721494
300034,beam_y,80x80,,,,,,,,,,,,,2.244619,18.285272,123.304848,321.694033,16.284417,-5.66316
300035,beam_y,80x80,,,,,,,,,,,,,-0.0,0.0,16.991537,-78.61609,14.815262,0.0
300036,beam_y,80x80,,,,,,,,,,,,,0.849552,15.766036,-126.946079,-187.132725,-40.135973,-1.092659
300037,beam_y,80x80,,,,,,,,,,,,,121.125399,-168.459011,20.827193,-34.329977,127.224634,-28.131346
300038,beam_y,80x80,,,,,,,,,,,,,217.123577,25.789291,-180.371226,0.14991,-287.666029,-58.857917
300039,beam_y,80x80,,,,,,,,,,,,,-50.585006,-4.093538,-446.119958,-6.692558,-130.73211,30.659137
300040,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-22.372706,1.3128,138.651041,-0.0
300041,beam_x,60x80,,,,,,,,,,,,,-90.795177,14.481558,-163.713333,-45.126223,50.018191,12.132807
300042,beam_x,60x80,,,,,,,,,,,,,93.249101,-4.71826,-100.426433,-22.564969,84.627953,-2.695808
300043,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-26.189386,3.668358,146.312701,-0.0
300044,beam_x,60x80,,,,,,,,,,,,,-99.648603,18.259903,-171.993338,-55.865286,43.968688,15.723572
300045,beam_x,60x80,,,,,,,,,,,,,102.341808,-8.820333,-68.557513,-23.4739,57.7129,-6.491597
300046,beam_x,60x80,,,,,,,,,,,,,0.0,0.0,-27.951967,4.435271,151.514941,0.0
300047,beam_x,60x80,,,,,,,,,,,,,-99.354597,20.71514,-175.938568,-60.92553,42.181692,17.412243
300048,beam_x,60x80,,,,,,,,,,,,,102.039856,-7.133222,-71.774899,-23.747635,56.735098,-4.269816
300049,beam_x,60x80,,,,,,,,,,,,,0.0,0.0,-26.959491,4.72576,151.268736,0.0
300050,beam_x,60x80,,,,,,,,,,,,,-117.224343,23.975159,-176.150506,-65.05095,45.386066,20.042929
300051,beam_x,60x80,,,,,,,,,,,,,120.392569,-7.516191,-60.116157,-22.268396,45.444396,-4.145127
300052,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-30.040921,3.259927,175.421269,-0.0
300053,beam_x,60x80,,,,,,,,,,,,,-110.276808,-27.151459,-199.877471,85.974527,52.988797,-20.63483
300054,beam_x,60x80,,,,,,,,,,,,,113.257262,-5.420062,-122.784844,45.647685,104.154273,-10.312047
300055,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-32.776354,1.123739,179.54285,-0.0
300056,beam_x,60x80,,,,,,,,,,,,,-111.63816,-27.941631,-203.49759,86.744583,47.826627,-21.490583
300057,beam_x,60x80,,,,,,,,,,,,,114.655407,-3.854525,-96.826819,45.946741,79.780437,-8.755996
300058,beam_x,60x80,,,,,,,,,,,,,0.0,0.0,-34.444739,0.952419,183.352769,0.0
300059,beam_x,60x80,,,,,,,,,,,,,-113.673657,-29.710437,-206.569348,90.816426,45.323758,-23.505309
300060,beam_x,60x80,,,,,,,,,,,,,116.745918,0.319145,-89.066942,40.292867,71.508363,-4.551954
300061,beam_x,60x80,,,,,,,,,,,,,0.0,0.0,-32.833549,-0.253245,181.78169,0.0
300062,beam_x,60x80,,,,,,,,,,,,,-132.069568,-31.368259,-204.54381,89.738446,49.366992,-24.546979
300063,beam_x,60x80,,,,,,,,,,,,,135.639016,-1.48543,-78.240301,40.886089,59.137909,-6.768859
300064,beam_y,60x80,,,,,,,,,,,,,3.186838,9.62144,130.307238,215.496799,-20.365059,-5.77647
300065,beam_y,60x80,,,,,,,,,,,,,2.509346,-7.016812,74.161638,114.171045,21.203919,-4.528221
