caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,366;0,0;-0,005;0,0449
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,4105;0,0;-0,005;0,0447
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,455;0,0;-0,005;0,0444
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,4995;0,0;-0,005;0,0442
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,544;0,0;-0,005;0,044
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,5885;0,0;-0,005;0,0438
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,633;0,0;-0,005;0,0435
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,6775;0,0;-0,005;0,0433
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,722;0,0;-0,005;0,0431
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,7665;0,0;-0,005;0,0429
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,811;0,0;-0,005;0,0426
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,8555;0,0;-0,005;0,0424
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,9;0,0;-0,005;0,0422
EX;columna;261;column;70x70;Piso 1;3,56;0,0;61,8823;63,5314;130,7733
EX;columna;261;column;70x70;Piso 1;3,56;3,56;61,8823;63,5314;95,4096
EX;muro;446;wall;30x1000;Subterraneo;10,61478214566837;0,0;-635,5634;33,9149;40,0586
EX;muro;446;wall;30x1000;Subterraneo;10,61478214566837;10,6148;-635,5634;33,9149;319,9671
