nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
65;Q;-0,0001210063;-0,0001059098;-0,001192373;-0,1210063;-0,1059098;-1,1923730000000001;0,16080861412166328;0,0003214053;3,93715e-05;4,316e-07
66;Q;-0,0001122583;-0,0001069845;-0,0011050524;-0,1122583;-0,1069845;-1,1050524;0,15507291562081368;5,28128e-05;9,90723e-05;4,316e-07
67;Q;-0,0001140364;-0,0001069845;-0,0010068309;-0,11403640000000001;-0,1069845;-1,0068309000000002;0,1563649057979763;-6,01342e-05;0,0002726314;4,316e-07
68;Q;-0,0001171653;-0,0001069845;-0,0014388619;-0,1171653;-0,1069845;-1,4388619;0,1586612453132144;-1,11728e-05;0,0004264878;4,316e-07
69;Q;-0,0001129748;-0,0001080677;-0,0005961116;-0,1129748;-0,1080677;-0,5961116;0,15633916085974747;7,09032e-05;-7,01696e-05;4,316e-07
70;Q;-0,0001140364;-0,0001080677;-0,0004741697;-0,11403640000000001;-0,1080677;-0,4741697;0,15710801478043698;3,24e-06;-1,18064e-05;4,316e-07
71;Q;-0,0001171653;-0,0001080677;-0,0006703581;-0,1171653;-0,1080677;-0,6703581;0,15939364889285895;-1,5293e-05;-3,759e-07;4,316e-07
72;Q;-0,0001210063;-0,0001080677;-0,0003590798;-0,1210063;-0,1080677;-0,3590798;0,16223795000855995;0,0001056547;-1,03219e-05;4,316e-07
73;Q;-0,0001129748;-0,0001102256;-0,0014138247;-0,1129748;-0,11022559999999999;-1,4138247;0,15783848811490814;1,47256e-05;3,6334e-06;4,316e-07
74;Q;-0,0001140364;-0,0001102256;-0,0014392693;-0,11403640000000001;-0,11022559999999999;-1,4392693;0,15860007383453514;-6,29026e-05;2,8267e-06;4,316e-07
75;Q;-0,0001171653;-0,0001102256;-0,0019760885;-0,1171653;-0,11022559999999999;-1,9760885000000001;0,16086450950862344;-7,91308e-05;4,4986e-06;4,316e-07
76;Q;-0,0001210063;-0,0001102256;-0,0010593118;-0,1210063;-0,11022559999999999;-1,0593118;0,1636832536793242;0,0003235265;6,8199e-06;4,316e-07
77;Q;-0,0001129748;-0,0001123834;-0,0005240926;-0,1129748;-0,1123834;-0,5240926;0,15935286012682673;6,16345e-05;8,9267e-05;4,316e-07
78;Q;-0,0001140364;-0,0001123834;-0,0004256002;-0,11403640000000001;-0,1123834;-0,4256002;0,1601072425611034;-6,6086e-06;3,10932e-05;4,316e-07
79;Q;-0,0001171653;-0,0001123834;-0,0006649438;-0,1171653;-0,1123834;-0,6649438000000001;0,1623506578971887;-1,50191e-05;-1,42913e-05;4,316e-07
80;Q;-0,0001210063;-0,0001123834;-0,0003581529;-0,1210063;-0,1123834;-0,3581529;0,16514403784348375;0,0001079636;-1,70798e-05;4,316e-07
