nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
208;EY;-0,0006735533;0,0124121432;-0,0003254003;-0,6735533;12,4121432;-0,3254003;12,430405177034542;-0,0015326682;-3,63389e-05;8,76688e-05
209;EY;0,0004744487;0,0195584667;0,0005419993;0,4744487;19,5584667;0,5419993000000001;19,564220434863756;-0,0012823985;-5,08035e-05;6,32013e-05
210;EY;1,62393e-05;0,0195584667;-0,0001182586;0,016239299999999998;19,5584667;-0,1182586;19,558473441704837;-0,0010329249;-1,74209e-05;6,32013e-05
211;EY;-0,0005462522;0,0195584667;-0,0004107888;-0,5462522;19,5584667;-0,4107888;19,566093404688985;-0,0013237362;3,05565e-05;6,32013e-05
212;EY;0,0002893293;0,0248245271;0,000594775;0,2893293;24,8245271;0,5947749999999999;24,826213105958647;-0,000857009;-5,031e-06;4,0077e-05
213;EY;-1,2289e-06;0,0248245271;-0,0001274231;-0,0012289;24,8245271;-0,12742309999999998;24,8245271304174;-0,0007086058;1,0616e-06;4,0077e-05
214;EY;-0,0003579142;0,0248245271;-0,0004527547;-0,3579142;24,8245271;-0,4527547;24,827107127355696;-0,0008760492;1,47895e-05;4,0077e-05
215;EY;0,0002979303;0,0279753532;0,0006110032;0,29793030000000004;27,9753532;0,6110032;27,976939595466984;-0,0004649332;9,858e-06;3,63722e-05
216;EY;3,42322e-05;0,0279753532;-0,0001291231;0,0342322;27,9753532;-0,12912310000000002;27,975374144205244;-0,0003354865;2,4911e-06;3,63722e-05
217;EY;-0,00028948;0,0279753532;-0,0004665879;-0,28948;27,9753532;-0,4665879;27,976850883098873;-0,000455694;-1,384e-06;3,63722e-05
218;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
219;EY;1,47513e-05;0,0053532687;-5,79639e-05;0,0147513;5,3532687;-0,057963900000000006;5,353289024072153;-0,001282564;2,77972e-05;2,90513e-05
220;EY;0,0001066986;0,0130696589;-0,0001003661;0,1066986;13,0696589;-0,1003661;13,070094427875842;-0,0012975111;1,27264e-05;8,76688e-05
221;EY;1,62393e-05;0,0200324764;-0,0001259876;0,016239299999999998;20,0324764;-0,1259876;20,03248298218225;-0,0010435697;-1,6455e-06;6,32013e-05
222;EY;-1,2289e-06;0,0251251045;-0,0001385786;-0,0012289;25,1251045;-0,1385786;25,12510453005351;-0,0007080887;1,14862e-05;4,0077e-05
223;EY;3,42322e-05;0,0282481444;-0,0001423985;0,0342322;28,2481444;-0,14239849999999998;28,24816514194804;-0,0003037202;1,72192e-05;3,63722e-05
230;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
231;EY;-0,0002438051;0,005462211;7,04902e-05;-0,2438051;5,462211;0,0704902;5,467649397621158;-0,0005851541;-7,96199e-05;2,90513e-05
232;EY;-0,0006735533;0,0133984167;0,0002068286;-0,6735533;13,3984167;0,2068286;13,415336153625812;-0,0007921385;-6,25896e-05;8,76688e-05
233;EY;-0,0005462522;0,0202694812;0,0002896051;-0,5462522;20,2694812;0,2896051;20,276840473386336;-0,0007634859;5,04598e-05;6,32013e-05
234;EY;-0,0003579142;0,0252753933;0,0003416253;-0,3579142;25,2753933;0,3416253;25,277927309102036;-0,0006623703;4,21294e-05;4,0077e-05
235;EY;-0,00028948;0,02838454;0,0003706323;-0,28948;28,38454;0,3706323;28,386016093879746;-0,0005770807;1,02008e-05;3,63722e-05
236;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
237;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
238;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
239;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
240;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
241;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
272;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
273;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
274;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
275;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
276;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
277;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
308;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
309;EY;0,000225373;0,005462211;-6,62396e-05;0,22537300000000002;5,462211;-0,0662396;5,466858512678923;-0,0005754056;8,43818e-05;2,90513e-05
310;EY;0,0007422971;0,0133984167;-0,0001989892;0,7422970999999999;13,3984167;-0,19898919999999998;13,418963262916673;-0,0007748174;7,04564e-05;8,76688e-05
311;EY;0,0004744487;0,0202694812;-0,0002748626;0,4744487;20,2694812;-0,2748626;20,275033161158706;-0,0007481181;-7,83809e-05;6,32013e-05
312;EY;0,0002893293;0,0252753933;-0,0003317059;0,2893293;25,2753933;-0,3317059;25,277049232723417;-0,0006513774;-3,27718e-05;4,0077e-05
313;EY;0,0002979303;0,02838454;-0,0003614181;0,29793030000000004;28,38454;-0,3614181;28,386103527523076;-0,0005687815;1,30457e-05;3,63722e-05
314;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
315;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
316;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
317;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
338;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
339;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
340;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
341;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
362;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
363;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
364;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
365;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
386;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
387;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
398;EY;0,0002570389;0,005462211;0,0;0,2570389;5,462211;0,0;5,468255480922065;0,0;0,0;2,90513e-05
399;EY;-0,0002756162;0,005462211;0,0;-0,27561620000000003;5,462211;0,0;5,469160200453397;0,0;0,0;2,90513e-05
400;EY;0,0008378561;0,0133984167;0,0;0,8378561;13,3984167;0,0;13,42458837026842;0,0;0,0;8,76688e-05
401;EY;-0,0007695506;0,0133984167;0,0;-0,7695506;13,3984167;0,0;13,4204984330985;0,0;0,0;8,76688e-05
402;EY;0,0005433381;0,0202694812;0,0;0,5433381;20,2694812;0,0;20,2767621776275;0,0;0,0;6,32013e-05
403;EY;-0,0006154576;0,0202694812;0,0;-0,6154576;20,2694812;0,0;20,278822849824177;0,0;0,0;6,32013e-05
404;EY;0,0003330132;0,0252753933;0,0;0,3330132;25,2753933;0,0;25,277586994431633;0,0;0,0;4,0077e-05
405;EY;-0,0004017986;0,0252753933;0,0;-0,4017986;25,2753933;0,0;25,278586760035594;0,0;0,0;4,0077e-05
406;EY;0,0003375759;0,02838454;0,0;0,3375759;28,38454;0,0;28,3865473155835;0,0;0,0;3,63722e-05
407;EY;-0,0003293075;0,02838454;0,0;-0,3293075;28,38454;0,0;28,386450190912498;0,0;0,0;3,63722e-05
408;EY;0,000225373;0,0046996149;0,0006696043;0,22537300000000002;4,6996149;0,6696042999999999;4,7050157489036115;-0,000432994;-1,7286e-06;2,90513e-05
409;EY;0,000225373;0,0049901277;0,000548714;0,22537300000000002;4,9901277;0,5487139999999999;4,995214454999534;-0,0006214534;-3,67397e-05;2,90513e-05
410;EY;0,000225373;0,0052443264;0,0007080295;0,22537300000000002;5,244326399999999;0,7080295;5,249166827113228;-0,0003472605;-0,0001183118;2,90513e-05
411;EY;0,000225373;0,0053532687;0,0004687348;0,22537300000000002;5,3532687;0,4687348;5,358010709538447;-0,0002856742;0,0002230559;2,90513e-05
412;EY;1,47513e-05;0,0046996149;0,0001795671;0,0147513;4,6996149;0,1795671;4,6996380508666515;-6,5349e-06;1,77507e-05;2,90513e-05
413;EY;1,47513e-05;0,0049901277;-0,0001310526;0,0147513;4,9901277;-0,13105260000000002;4,990149503086955;-0,0001506803;-7,4123e-06;2,90513e-05
414;EY;1,47513e-05;0,0052443264;-2,04358e-05;0,0147513;5,244326399999999;-0,020435799999999997;5,244347146269844;-0,0004628348;-1,87157e-05;2,90513e-05
415;EY;-0,0002438051;0,0046996149;-0,0003620694;-0,2438051;4,6996149;-0,3620694;4,705934671782857;-0,0007849195;5,61218e-05;2,90513e-05
416;EY;-0,0002438051;0,0049901277;-0,0004624081;-0,2438051;4,9901277;-0,4624081;4,996080002271111;-0,0006788065;3,07377e-05;2,90513e-05
417;EY;-0,0002438051;0,0052443264;-0,0005275793;-0,2438051;5,244326399999999;-0,5275793;5,249990506326937;-0,000401257;8,37403e-05;2,90513e-05
418;EY;-0,0002438051;0,0053532687;-0,0003104045;-0,2438051;5,3532687;-0,3104045;5,358817658885745;-0,0003898937;-0,0001753043;2,90513e-05
419;EY;0,0007422971;0,0110971118;0,0007021863;0,7422970999999999;11,0971118;0,7021863;11,121910595143609;-0,0004804608;-7,3784e-06;8,76688e-05
420;EY;0,0001066986;0,0110971118;0,0001379845;0,1066986;11,0971118;0,13798449999999998;11,097624741039914;-1,98877e-05;2,24063e-05;8,76688e-05
421;EY;-0,0006735533;0,0110971118;-0,0004867371;-0,6735533;11,0971118;-0,4867371;11,117534094826969;-0,0008715205;4,76367e-05;8,76688e-05
422;EY;0,0007422971;0,0119737994;0,000805575;0,7422970999999999;11,9737994;0,805575;11,996786113626797;-0,0006906007;-1,51434e-05;8,76688e-05
423;EY;0,0001066986;0,0119737994;-0,0001590427;0,1066986;11,9737994;-0,15904269999999998;11,974274786503036;-0,0002002791;-3,012e-07;8,76688e-05
424;EY;-0,0006735533;0,0119737994;-0,0006574108;-0,6735533;11,9737994;-0,6574108000000001;11,99272888542809;-0,0007313317;1,59757e-05;8,76688e-05
425;EY;0,0007422971;0,012740901;0,0005472698;0,7422970999999999;12,740901000000001;0,5472698;12,762506151868035;-0,0003434675;2,83974e-05;8,76688e-05
426;EY;0,0001066986;0,012740901;-6,40559e-05;0,1066986;12,740901000000001;-0,0640559;12,74134776556401;-0,0004702499;-1,05023e-05;8,76688e-05
427;EY;-0,0006735533;0,012740901;-0,000410743;-0,6735533;12,740901000000001;-0,41074299999999997;12,758692422805007;-0,0004034942;-2,78817e-05;8,76688e-05
428;EY;0,0007422971;0,0130696589;-0,0001314698;0,7422970999999999;13,0696589;-0,1314698;13,090721475419818;-0,0002367396;0,0002440982;8,76688e-05
429;EY;-0,0006735533;0,0130696589;0,0001469454;-0,6735533;13,0696589;0,1469454;13,08700339307246;-0,0003701418;-0,0001966548;8,76688e-05
430;EY;0,0004744487;0,0186104473;0,0005795905;0,4744487;18,6104473;0,5795905;18,61649403821807;-0,0004444559;-1,11491e-05;6,32013e-05
431;EY;1,62393e-05;0,0186104473;0,0001001202;0,016239299999999998;18,6104473;0,10012019999999999;18,610454385128318;-7,1925e-06;2,39962e-05;6,32013e-05
432;EY;-0,0005462522;0,0186104473;-0,0005624726;-0,5462522;18,6104473;-0,5624726000000001;18,6184623471457;-0,0008672397;2,0845e-05;6,32013e-05
433;EY;0,0004744487;0,0192424602;0,0008754879;0,4744487;19,2424602;0,8754879;19,248308396259546;-0,0006380639;2,47317e-05;6,32013e-05
434;EY;1,62393e-05;0,0192424602;-0,0001628938;0,016239299999999998;19,2424602;-0,1628938;19,24246705241946;-0,0001910981;7,4208e-06;6,32013e-05
435;EY;-0,0005462522;0,0192424602;-0,0007065838;-0,5462522;19,2424602;-0,7065838000000001;19,250212103106524;-0,0006630386;-1,43896e-05;6,32013e-05
436;EY;0,0004744487;0,0197954715;0,0006362959;0,4744487;19,7954715;0,6362959;19,801156367147954;-0,0003296975;7,38519e-05;6,32013e-05
437;EY;1,62393e-05;0,0197954715;-8,83111e-05;0,016239299999999998;19,7954715;-0,08831109999999999;19,795478160988605;-0,0003962677;-1,882e-06;6,32013e-05
438;EY;-0,0005462522;0,0197954715;-0,0004419166;-0,5462522;19,7954715;-0,4419166;19,803006927568276;-0,0003577663;-7,87736e-05;6,32013e-05
439;EY;0,0004744487;0,0200324764;-0,0001506267;0,4744487;20,0324764;-0,1506267;20,03809402826248;-0,000224102;0,0002499481;6,32013e-05
